player,TEAM,OFFENSIVE ARCHETYPE,MINUTES,POSITION,AGE,TIER,LEBRON,O-LEBRON,D-LEBRON,WINS ADDED,BOXLEBRON,BOXOLEBRON,BOXDLEBRON,LA-RAPM,LA-O-RAPM,LA-D-RAPM
Denzel Valentine,CLE/UTA,Stationary Shooter,222,SG,28,,-1.87,-1.46,-0.41,0.1,-1.61,-1.17,-0.44,-1.06,-1.14,0.08
Tomas Satoransky,NOP/SAS/WAS,Secondary Ball Handler,906,SG,30,,-1.88,-1.69,-0.19,0.3,-0.93,-1.02,0.09,-1.03,-1.4,0.37
Cedi Osman,CLE,Movement Shooter,"1,462",SF,27,,-1.88,-0.36,-1.51,0.5,-0.39,0.26,-0.65,-1.59,0.08,-1.67
Kyle Guy,MIA,Movement Shooter,186,SG,24,,-1.88,-1.39,-0.49,0.1,-1.3,-0.82,-0.49,0,0,0
Killian Hayes,DET,Primary Ball Handler,"1,647",PG,20,,-1.9,-2.51,0.61,0.5,-2.23,-2.52,0.29,-2.19,-1.77,-0.42
Timothe Luwawu-Cabarrot,ATL,Stationary Shooter,685,SF,26,,-1.91,-1.74,-0.17,0.2,-1.71,-1.24,-0.48,-0.72,-0.82,0.1
Charlie Brown Jr.,DAL/PHI,Stretch Big,178,SG,25,,-1.91,-1.58,-0.33,0.1,-1.92,-1.39,-0.53,0,0,0
Kent Bazemore,LAL,Stationary Shooter,545,SF,32,,-1.92,-2.88,0.96,0.2,-1.99,-2.23,0.24,-0.46,-1.18,0.72
DeAndre' Bembry,BRK/MIL,Roll + Cut Big,"1,026",SF,27,,-1.92,-1.69,-0.22,0.3,-1.14,-1.9,0.76,-1.39,-0.2,-1.19
Melvin Frazier,OKC,Slasher,120,SG,25,,-1.93,-1.07,-0.86,0,-1.25,-0.93,-0.32,0,0,0
Brandon Boston Jr.,LAC,Secondary Ball Handler,760,SG,20,,-1.93,-1.49,-0.44,0.2,-1.38,-0.95,-0.43,-1.25,-0.99,-0.26
Gary Harris,ORL,Stationary Shooter,"1,730",SG,27,,-1.96,-1.54,-0.42,0.5,-2.75,-1.77,-0.98,-0.4,-0.34,-0.05
Eric Gordon,HOU,Secondary Ball Handler,"1,670",SG,33,,-1.98,-0.33,-1.65,0.4,-2.68,-0.82,-1.87,-1.27,-0.74,-0.53
Tyler Cook,CHI,Roll + Cut Big,200,PF,24,,-1.98,-1.68,-0.29,0.1,-1.29,-1.51,0.22,-0.61,-0.05,-0.56
Carmelo Anthony,LAL,Versatile Big,"1,793",PF,37,,-2,-0.3,-1.7,0.4,-0.76,-0.06,-0.7,-1.85,0.13,-1.99
Jevon Carter,BRK/MIL,Secondary Ball Handler,905,PG,26,,-2.01,-1.13,-0.88,0.2,-1.72,-1.28,-0.44,-1.8,-1.24,-0.56
Yves Pons,MEM,Stretch Big,71,SF,22,,-2.01,-1.05,-0.96,0,-1.64,-1.02,-0.62,-0.08,-0.02,-0.06
Dylan Windler,CLE,Stationary Shooter,459,SF,25,,-2.03,-2.13,0.1,0.1,-1.45,-1.56,0.11,-2,-1.4,-0.59
Theo Maledon,OKC,Stationary Shooter,908,PG,20,,-2.03,-1.41,-0.62,0.2,-1.54,-1.21,-0.33,-0.48,-0.67,0.19
Ish Smith,CHO/WAS,Slasher,"1,126",PG,33,,-2.05,-1.45,-0.6,0.2,-1.17,-1.02,-0.16,-1.22,-1.07,-0.16
Lamar Stevens,CLE,Athletic Finisher,"1,015",PF,24,,-2.05,-2.22,0.17,0.2,-1.86,-1.95,0.1,0.03,0.06,-0.03
Moses Moody,GSW,Stationary Shooter,607,SG,19,,-2.05,-1.3,-0.75,0.1,-1.52,-0.88,-0.63,0.17,-0.54,0.71
Collin Sexton,CLE,Slasher,316,SG,23,,-2.06,-1.24,-0.82,0.1,-1.65,-0.62,-1.03,-1.26,-1.24,-0.02
Georges Niang,PHI,Stationary Shooter,"1,736",PF,28,,-2.07,-0.97,-1.1,0.3,-1.99,-0.93,-1.06,0.44,0.31,0.13
Zeke Nnaji,DEN,Stretch Big,698,PF,21,,-2.08,-1.58,-0.5,0.1,-1.36,-1.02,-0.34,-1.13,-0.2,-0.93
Darius Bazley,OKC,Stationary Shooter,"1,924",PF,21,,-2.09,-2.11,0.03,0.4,-1.29,-2.01,0.72,-0.99,-0.77,-0.21
Jeremiah Robinson-Earl,OKC,Stretch Big,"1,087",C,21,,-2.1,-1.97,-0.13,0.2,-1.43,-1.58,0.15,-2.47,-1.58,-0.89
Sandro Mamukelashvili,MIL,Stretch Big,407,PF,22,,-2.11,-1.04,-1.08,0.1,-1.22,-0.69,-0.54,-1.06,-0.46,-0.61
Isaiah Livers,DET,Stationary Shooter,383,SF,23,,-2.11,-1.33,-0.78,0.1,-1.78,-1.82,0.03,0,0,0
Lonnie Walker IV,SAS,Secondary Ball Handler,"1,612",SG,23,,-2.12,-0.28,-1.85,0.3,-1.39,-0.14,-1.25,-0.26,-0.07,-0.19
JT Thor,CHO,Athletic Finisher,262,PF,19,,-2.12,-1.63,-0.49,0,-1.53,-1.72,0.2,0.04,0.47,-0.43
Robin Lopez,ORL,Post Scorer,612,C,34,,-2.14,-1.44,-0.7,0.1,-2.54,-1.63,-0.91,0.19,0.13,0.07
Wayne Ellington,LAL,Movement Shooter,810,SG,34,,-2.14,-1.36,-0.78,0.1,-1.87,-0.8,-1.06,-0.97,-0.3,-0.67
Trey Burke,DAL,Secondary Ball Handler,441,PG,29,,-2.15,-0.94,-1.21,0.1,-2.1,-0.52,-1.57,0.32,-0.84,1.16
Josh Jackson,DET/SAC,Stationary Shooter,830,SF,25,,-2.15,-1.84,-0.31,0.1,-1.45,-1.48,0.04,-1.6,-0.36,-1.24
Davion Mitchell,SAC,Primary Ball Handler,"2,076",PG,23,,-2.15,-1.46,-0.69,0.3,-2.87,-1.06,-1.81,0.96,-0.06,1.02
Duane Washington Jr.,IND,Movement Shooter,968,PG,22,,-2.15,-0.26,-1.9,0.1,-2.37,-0.51,-1.86,-0.41,-0.12,-0.29
Jordan Nwora,MIL,Stationary Shooter,"1,185",SF,23,,-2.17,-1.07,-1.1,0.2,-1.56,-1.07,-0.49,-1.91,-1.1,-0.8
Georgios Kalaitzakis,MIL/OKC,Secondary Ball Handler,213,SF,23,,-2.17,-1.43,-0.74,0,-0.89,-0.96,0.07,-2.22,-0.9,-1.32
